FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
1576,341,100ml,100ml,1.06932
1576,383,125ml,125ml,1.33664
1576,415,250ml,250ml,2.67329
1577,333,10 fruits,10 fruits,0.48500
1577,341,100ml,100ml,0.59172
1577,383,125ml,125ml,0.73964
1577,415,250ml,250ml,1.47929
1577,478,1 cherry,1 cerise,0.04850
1577,1457,140g,140g,1.40000
1578,110,1 fruit,1 fruit,0.55000
1578,341,100ml,100ml,0.69738
1578,383,125ml,125ml,0.87172
1578,415,250ml,250ml,0.73688
1578,1457,140g,140g,1.40000
1579,110,1 fruit,1 fruit,0.06000
1579,341,100ml,100ml,1.03128
1579,383,125ml,125ml,1.28910
1579,415,250ml,250ml,2.57819
1579,1041,15 fruits,15 fruits,0.90000
1579,1457,140g,140g,1.40000
1580,341,100ml,100ml,1.00592
1580,383,125ml,125ml,1.25940
1580,415,250ml,250ml,2.51479
1580,640,60ml,60ml,0.60451
1581,371,100ml slices,100ml tranches,0.69730
1581,971,125ml slices,125ml tranches,0.87172
1581,979,250ml slices,250ml tranches,1.74345
1581,1457,140g,140g,1.40000
1582,341,100ml,100ml,0.57058
1582,383,125ml,125ml,0.71323
1582,415,250ml,250ml,1.42646
1582,628,3 fruits,3 fruits,0.09000
1582,1030,20 fruits,20 fruits,0.60000
1582,1040,40 fruits,40 fruits,1.20000
1582,1457,140g,140g,1.40000
1583,633,5 medium,5 moyennes,0.70000
1583,1457,140g,140g,1.40000
1584,1457,140g,140g,1.40000
1585,371,100ml slices,100ml tranches,0.76082
1585,509,1 medium fruit,1 fruit moyen,0.69000
1585,971,125ml slices,125ml tranches,0.95102
1585,979,250ml slices,250ml tranches,1.90204
1585,1457,140g,140g,1.40000
1586,110,1 fruit,1 fruit,0.19000
1586,1042,5 fruits,5 fruits,0.95000
1586,1457,140g,140g,1.40000
1587,144,1 large fruit (6 cm dia),1 gros fruit (6 cm dia),0.84000
1587,161,1 medium fruit (5.4 cm dia),1 fruit moyen (5.4 cm dia),0.58000
1587,617,100ml sections,100ml sections,0.89603
1587,1037,125ml sections,125ml sections,1.12003
1587,1038,250ml sections,250ml sections,2.24007
1587,1043,1 wedge or slice of medium fruit,1 quartier ou tranche d'un fruit moyen,0.07000
1587,1461,55g,55g,0.55000
1589,341,100ml,100ml,1.03128
1589,383,125ml,125ml,1.28910
1589,385,15ml,15ml,0.15469
1589,415,250ml,250ml,2.57819
1589,439,5ml,5ml,0.05156
1590,341,100ml,100ml,1.03128
1590,383,125ml,125ml,1.28910
1590,385,15ml,15ml,0.15469
1590,415,250ml,250ml,2.57819
1590,439,5ml,5ml,0.05156
1591,341,100ml,100ml,1.03128
1591,383,125ml,125ml,1.28910
1591,385,15ml,15ml,0.15469
1591,415,250ml,250ml,2.57819
1591,439,5ml,5ml,0.05156
1592,385,15ml,15ml,0.06081
1592,439,5ml,5ml,0.02041
1592,1481,4g,4g,0.04000
1593,115,1 fruit (5 cm dia),1 fruit (5 cm dia),0.67000
1593,1461,55g,55g,0.55000
1594,341,100ml,100ml,1.03973
1594,383,125ml,125ml,1.29662
1594,415,250ml,250ml,2.59932
1594,439,5ml,5ml,0.05187
1595,341,100ml,100ml,1.03973
1595,383,125ml,125ml,1.29966
1595,385,15ml,15ml,0.15596
1595,415,250ml,250ml,2.59932
1595,439,5ml,5ml,0.05199
1596,110,1 fruit,1 fruit,0.09600
1596,333,10 fruits,10 fruits,0.96000
1596,341,100ml,100ml,0.80304
1596,383,125ml,125ml,1.00380
1596,415,250ml,250ml,2.00761
1596,1457,140g,140g,1.40000
1597,110,1 fruit,1 fruit,0.02500
1597,333,10 fruits,10 fruits,0.25000
1597,1456,40g,40g,0.40000
1598,1017,125ml frozen,125ml congelé,0.77663
1598,1018,250ml frozen,250ml congelé,1.55325
1598,1019,100ml frozen,100ml congelé,0.62130
1598,1457,140g,140g,1.40000
1599,110,1 fruit,1 fruit,0.03200
1599,1030,20 fruits,20 fruits,0.64000
1599,1457,140g,140g,1.40000
1600,336,10 pieces,10 morceaux,0.05670
1600,341,100ml,100ml,0.55284
1600,383,125ml,125ml,0.69106
1600,414,225ml,225ml,124.39000
1600,415,250ml,250ml,1.38210
1600,640,60ml,60ml,0.31171
1600,1457,140g,140g,1.40000
1601,143,1 large fruit,1 gros fruit,0.20000
1601,347,100ml cubes,100ml en cubes,0.62975
1601,509,1 medium fruit,1 fruit moyen,0.16000
1601,1015,125ml cubes,125ml cubes,0.78719
1601,1016,250ml cubes,250ml cubes,1.57439
1601,1042,5 fruits,5 fruits,0.50000
1601,1046,1 small fruit,1 petit fruit,0.13600
1601,1457,140g,140g,1.40000
1602,110,1 fruit,1 fruit,8.46000
1602,1457,140g,140g,1.40000
1602,1465,1/8 fruit,1/8 fruit,1.05750
1603,110,1 fruit,1 fruit,2.07000
1603,371,100ml slices,100ml tranches,0.69738
1603,971,125ml slices,125ml tranches,0.87172
1603,979,250ml slices,250ml tranches,1.74345
1603,1457,140g,140g,1.40000
1603,1459,1/2 fruit,1/2 fruit,1.03500
1604,312,1/10 fruit (20cm x 5cm dia),1/10 fruit (20cm x 5cm dia),1.64000
1604,347,100ml cubes,100ml en cubes,0.71851
1604,1015,125ml cubes,125ml cubes,0.89814
1604,1016,250ml cubes,250ml cubes,1.79628
1604,1047,1 melon,1 melon,16.40000
1604,1466,150g,150g,1.50000
1605,347,100ml cubes,100ml en cubes,0.71851
1605,1015,125ml cubes,125ml cubes,0.89814
1605,1016,250ml cubes,250ml cubes,1.79628
1605,1048,10 melon balls,10 boules de melon,1.38000
1605,1049,100ml balls,100ml boules,0.74810
1605,1050,125ml balls,125ml boules,0.93512
1605,1051,250ml balls,250ml boules,1.87025
1605,1052,1 melon (13.3cm dia),1 melon (13.3cm dia),10.00000
1605,1053,1 melon (15.2cm - 17.8cm dia),1 melon (15.2cm - 17.8cm dia),12.80000
1605,1054,1 wedge (1/8 of a 13.3cm dia melon),1 quartier (1/8 d'un melon de 13.3cm dia),1.25000
1605,1055,1 wedge (1/8 of a 15.2cm to 17.8cm dia melon),1 quartier (1/8 d'un melon de 15.2cm à 17.8cm dia),1.60000
1605,1466,150g,150g,1.50000
1606,1017,125ml frozen,125ml congelé,0.91399
1606,1018,250ml frozen,250ml congelé,1.82798
1606,1019,100ml frozen,100ml congelé,0.73119
1606,1466,150g,150g,1.50000
1610,333,10 fruits,10 fruits,0.15000
1610,341,100ml,100ml,0.59172
1610,383,125ml,125ml,0.73964
1610,415,250ml,250ml,1.47929
1610,1457,140g,140g,1.40000
1611,117,1 fruit (6.4 cm dia),1 fruit (6.4 cm dia),1.36000
1611,371,100ml slices,100ml tranches,0.58326
1611,971,125ml slices,125ml tranches,0.72908
1611,979,250ml slices,250ml tranches,1.45816
1611,1457,140g,140g,1.40000
1612,333,10 fruits,10 fruits,0.11000
1612,341,100ml,100ml,0.59172
1612,383,125ml,125ml,0.73964
1612,415,250ml,250ml,1.47929
1612,1466,150g,150g,1.50000
1613,139,1 large,1 gros,0.04400
1613,385,15ml,15ml,0.08500
1613,553,1 small,1 petit,0.03200
1613,1290,100ml chopped or sliced,100ml haché ou tranché,0.57060
1613,1467,15g,15g,0.15000
1614,290,1 super colossal,1 super colossale,0.15000
1614,504,1 jumbo,1 jumbo,0.08300
1614,1290,100ml chopped or sliced,100ml haché ou tranché,0.57060
1614,1467,15g,15g,0.15000
1614,502334,,,0.16000
1615,119,1 fruit (6.7 cm dia),1 fruit (6.7 cm dia),1.21000
1615,617,100ml sections,100ml sections,0.76078
1615,1037,125ml sections,125ml sections,0.95097
1615,1038,250ml sections,250ml sections,1.90194
1615,1457,140g,140g,1.40000
1616,122,1 fruit (7.3 cm dia),1 fruit (7.3 cm dia),1.40000
1616,617,100ml sections,100ml sections,0.69738
1616,1037,125ml sections,125ml sections,0.87172
1616,1038,250ml sections,250ml sections,1.74345
1616,1457,140g,140g,1.40000
1617,120,1 fruit (6.8 cm dia),1 fruit (6.8 cm dia),1.51000
1617,617,100ml sections,100ml sections,0.78191
1617,1037,125ml sections,125ml sections,0.97739
1617,1038,250ml sections,250ml sections,1.95478
1617,1457,140g,140g,1.40000
1618,110,1 fruit,1 fruit,1.59000
1618,341,100ml,100ml,0.71851
1618,383,125ml,125ml,0.89814
1618,415,250ml,250ml,1.79628
1618,1457,140g,140g,1.40000
1619,341,100ml,100ml,1.04818
1619,383,125ml,125ml,1.31023
1619,415,250ml,250ml,2.62046
1620,341,100ml,100ml,1.05241
1620,383,125ml,125ml,1.31551
1620,415,250ml,250ml,2.63102
1621,385,15ml,15ml,0.06081
1621,439,5ml,5ml,0.02041
1621,1481,4g,4g,0.04000
1622,341,100ml,100ml,1.04396
1622,383,125ml,125ml,1.30495
1622,415,250ml,250ml,2.60989
1623,617,100ml sections,100ml sections,0.82418
1623,1037,125ml sections,125ml sections,1.03022
1623,1038,250ml sections,250ml sections,2.06044
1623,1056,1 medium fruit (6cm dia),1 fruit moyen (6cm dia),0.88000
1623,1057,1 small fruit (5.7cm dia),1 petit fruit (5.7cm dia),0.76000
1623,1058,1 large fruit (6.4cm dia),1 gros fruit (6.4cm dia),1.20000
1623,1457,140g,140g,1.40000
1624,341,100ml,100ml,1.04396
1624,383,125ml,125ml,1.30495
1624,415,250ml,250ml,2.60989
1625,341,100ml,100ml,1.05241
1625,383,125ml,125ml,1.31551
1625,415,250ml,250ml,2.63102
1628,319,1/2 fruit (13cm dia),1/2 fruit (13cm dia),1.52500
1628,347,100ml cubes,100ml en cubes,0.59172
1628,357,100ml mashed,100ml en purée,0.97210
1628,1015,125ml cubes,125ml cubes,0.73964
1628,1016,250ml cubes,250ml cubes,1.47929
1628,1059,125ml mashed,125ml en purée,1.21513
1628,1060,250ml mashed,250ml en purée,2.43026
1628,1061,1 large (14.6cm long x 8.3cm dia),1 gros (14.6cm long x 8.3cm dia),3.80000
1628,1062,1 medium (13cm long x 7.6cm dia),1 moyen (13cm long x 7.6cm dia),3.04000
1628,1063,1 small (11.4cm long x 7cm dia),1 petit (11.4cm long x 7cm dia),1.52000
1628,1457,140g,140g,1.40000
1629,341,100ml,100ml,1.05664
1629,383,125ml,125ml,1.32079
1629,415,250ml,250ml,2.64159
1630,110,1 fruit,1 fruit,0.18000
1630,341,100ml,100ml,0.99746
1630,383,125ml,125ml,1.24683
1630,415,250ml,250ml,2.49366
1630,1457,140g,140g,1.40000
1630,1462,2 fruits,2 fruits,0.36000
1631,341,100ml,100ml,1.04396
1631,383,125ml,125ml,1.30495
1631,415,250ml,250ml,2.60989
1632,341,100ml,100ml,1.04396
1632,383,125ml,125ml,1.30495
1632,415,250ml,250ml,2.60989
1633,341,100ml,100ml,1.05664
1633,383,125ml,125ml,1.32079
1633,388,150ml,150ml,1.57228
1633,415,250ml,250ml,2.64159
1633,1064,100ml halves or slices,100ml moitiés ou tranches,1.04818
1633,1065,125ml halves or slices,125ml moitiés ou tranches,1.31023
1633,1066,250ml halves or slices,250ml moitiés ou tranches,2.62046
1633,1067,1 half with liquid,1 moitié avec liquide,0.98000
1634,388,150ml,150ml,1.56594
1634,1064,100ml halves or slices,100ml moitiés ou tranches,1.04396
1634,1065,125ml halves or slices,125ml moitiés ou tranches,1.30495
1634,1066,250ml halves or slices,250ml moitiés ou tranches,2.60989
1634,1067,1 half with liquid,1 moitié avec liquide,0.98000
1635,341,100ml,100ml,1.10735
1635,383,125ml,125ml,1.38418
1635,388,150ml,150ml,1.66102
