FoodID,MeasureID,MeasureDescription,MeasureDescriptionF,ConversionFactorValue
1275,1454,30g,30g,0.30000
1276,274,1 small box,1 petite bôite,0.45000
1276,341,100ml,100ml,0.19949
1276,415,250ml,250ml,0.49873
1276,1454,30g,30g,0.30000
1276,1461,55g,55g,0.55000
1278,341,100ml,100ml,0.05072
1278,383,125ml,125ml,0.06340
1278,415,250ml,250ml,0.12680
1278,429,300ml,300ml,0.15220
1278,1454,30g,30g,0.30000
1278,1467,15g,15g,0.15000
1279,15,1 biscuit,1 biscuit pour le thé  (poudre à pâte),0.25000
1279,1454,30g,30g,0.30000
1279,1461,55g,55g,0.55000
1280,274,1 small box,1 petite bôite,0.45000
1280,341,100ml,100ml,0.21133
1280,415,250ml,250ml,0.52832
1280,1454,30g,30g,0.30000
1280,1461,55g,55g,0.55000
1291,341,100ml,100ml,0.12680
1291,415,250ml,250ml,0.31700
1291,1454,30g,30g,0.30000
1292,341,100ml,100ml,0.12000
1292,415,250ml,250ml,0.30000
1292,1454,30g,30g,0.30000
1293,341,100ml,100ml,0.16906
1293,413,200ml,200ml,0.33812
1293,415,250ml,250ml,0.42265
1293,1454,30g,30g,0.30000
1295,341,100ml,100ml,0.12680
1295,415,250ml,250ml,0.31700
1295,1454,30g,30g,0.30000
1300,341,100ml,100ml,0.16000
1300,345,100ml crumbs,100ml miettes,0.37162
1300,389,175ml,175ml,0.28000
1300,415,250ml,250ml,0.40000
1300,1454,30g,30g,0.30000
1300,502488,60ml crumbs,60ml miettes,0.22290
1300,502489,125ml crumbs,125ml miettes,0.46450
1301,341,100ml,100ml,0.10566
1301,345,100ml crumbs,100ml miettes,0.37162
1301,415,250ml,250ml,0.26416
1301,429,300ml,300ml,0.31699
1301,1454,30g,30g,0.30000
1301,502488,60ml crumbs,60ml miettes,0.22290
1301,502489,125ml crumbs,125ml miettes,0.37162
1303,341,100ml,100ml,0.16910
1303,389,175ml,175ml,0.29590
1303,415,250ml,250ml,0.42265
1303,1454,30g,30g,0.30000
1305,341,100ml,100ml,0.16910
1305,389,175ml,175ml,0.29590
1305,415,250ml,250ml,0.42265
1305,1454,30g,30g,0.30000
1314,341,100ml,100ml,0.18174
1314,388,150ml,150ml,0.27261
1314,415,250ml,250ml,0.45435
1314,1454,30g,30g,0.30000
1314,1461,55g,55g,0.55000
1317,341,100ml,100ml,0.25360
1317,383,125ml,125ml,0.31700
1317,415,250ml,250ml,0.63398
